1. Task: 0 | Trial: 0 | Reward: ✅ | Duration: 23.51s | DB Match: YES | 
26. Task: 31 | Trial: 0 | Reward: ✅ | Duration: 22.01s | DB Match: YES | 
27. Task: 32 | Trial: 0 | Reward: ❌ | Duration: 28.81s | DB Match: NO | 
28. Task: 33 | Trial: 0 | Reward: ❌ | Duration: 30.88s | DB Match: NO | 
29. Task: 34 | Trial: 0 | Reward: ✅ | Duration: 18.11s | DB Match: YES | 
30. Task: 35 | Trial: 0 | Reward: ❌ | Duration: 168.65s | DB Match: NO | 
31. Task: 36 | Trial: 0 | Reward: ✅ | Duration: 21.97s | DB Match: YES | 
32. Task: 37 | Trial: 0 | Reward: ❌ | Duration: 37.57s | DB Match: NO | 
33. Task: 38 | Trial: 0 | Reward: ❌ | Duration: 7.64s | DB Match: NO | 
34. Task: 39 | Trial: 0 | Reward: ❌ | Duration: 36.15s | DB Match: NO | 
35. Task: 4 | Trial: 0 | Reward: ✅ | Duration: 52.92s | DB Match: YES | 
36. Task: 40 | Trial: 0 | Reward: ✅ | Duration: 21.78s | DB Match: YES | 
37. Task: 41 | Trial: 0 | Reward: ✅ | Duration: 44.76s | DB Match: YES | 
38. Task: 42 | Trial: 0 | Reward: ❌ | Duration: 60.89s | DB Match: NO | 
39. Task: 43 | Trial: 0 | Reward: ✅ | Duration: 27.22s | DB Match: YES | 
40. Task: 44 | Trial: 0 | Reward: ❌ | Duration: 45.81s | DB Match: NO | 
41. Task: 45 | Trial: 0 | Reward: ✅ | Duration: 31.98s | DB Match: YES | 
42. Task: 46 | Trial: 0 | Reward: ✅ | Duration: 14.82s | DB Match: YES | 
43. Task: 47 | Trial: 0 | Reward: ✅ | Duration: 50.77s | DB Match: YES | 
44. Task: 48 | Trial: 0 | Reward: ❌ | Duration: 17.36s | DB Match: NO | 
45. Task: 49 | Trial: 0 | Reward: ✅ | Duration: 15.84s | DB Match: YES | 
46. Task: 5 | Trial: 0 | Reward: ✅ | Duration: 34.16s | DB Match: YES | 
47. Task: 6 | Trial: 0 | Reward: ✅ | Duration: 10s | DB Match: YES | 
48. Task: 7 | Trial: 0 | Reward: ❌ | Duration: 27.18s | DB Match: NO | 
49. Task: 8 | Trial: 0 | Reward: ❌ | Duration: 51.34s | DB Match: NO | 
50. Task: 9 | Trial: 0 | Reward: ❌ | Duration: 32.92s | DB Match: NO | 
51. Task: 0 | Trial: 1 | Reward: ✅ | Duration: 16.15s | DB Match: YES | 
52. Task: 1 | Trial: 1 | Reward: ✅ | Duration: 35.27s | DB Match: YES | 
53. Task: 10 | Trial: 1 | Reward: ✅ | Duration: 24.92s | DB Match: YES | 
54. Task: 11 | Trial: 1 | Reward: ❌ | Duration: 9.67s | DB Match: NO | 
55. Task: 12 | Trial: 1 | Reward: ❌ | Duration: 14.13s | DB Match: NO | 
56. Task: 13 | Trial: 1 | Reward: ✅ | Duration: 13.11s | DB Match: YES | 
57. Task: 14 | Trial: 1 | Reward: ❌ | Duration: 140.30s | DB Match: NO | 
58. Task: 15 | Trial: 1 | Reward: ❌ | Duration: 22.27s | DB Match: NO | 
59. Task: 16 | Trial: 1 | Reward: ❌ | Duration: 29.19s | DB Match: NO | 
60. Task: 17 | Trial: 1 | Reward: ❌ | Duration: 39.35s | DB Match: NO | 
61. Task: 18 | Trial: 1 | Reward: ❌ | Duration: 101.70s | DB Match: NO | 
62. Task: 19 | Trial: 1 | Reward: ❌ | Duration: 33.97s | DB Match: NO | 
63. Task: 2 | Trial: 1 | Reward: ❌ | Duration: 120.68s | DB Match: NO | 
64. Task: 20 | Trial: 1 | Reward: ❌ | Duration: 139.73s | DB Match: NO | 
65. Task: 21 | Trial: 1 | Reward: ❌ | Duration: 146.21s | DB Match: NO | 
66. Task: 22 | Trial: 1 | Reward: ❌ | Duration: 27.29s | DB Match: NO | 
67. Task: 23 | Trial: 1 | Reward: ❌ | Duration: 103.96s | DB Match: NO | 
68. Task: 24 | Trial: 1 | Reward: ❌ | Duration: 21.17s | DB Match: NO | 
69. Task: 25 | Trial: 1 | Reward: ✅ | Duration: 117.08s | DB Match: YES | 
70. Task: 26 | Trial: 1 | Reward: ✅ | Duration: 147.07s | DB Match: YES | 
71. Task: 27 | Trial: 1 | Reward: ❌ | Duration: 122.86s | DB Match: NO | 
72. Task: 28 | Trial: 1 | Reward: ✅ | Duration: 12.70s | DB Match: YES | 
73. Task: 29 | Trial: 1 | Reward: ❌ | Duration: 141.92s | DB Match: NO | 
74. Task: 3 | Trial: 1 | Reward: ✅ | Duration: 22.03s | DB Match: YES | 
75. Task: 30 | Trial: 1 | Reward: ❌ | Duration: 21.87s | DB Match: NO | 
76. Task: 31 | Trial: 1 | Reward: ✅ | Duration: 22.85s | DB Match: YES | 
77. Task: 32 | Trial: 1 | Reward: ❌ | Duration: 27.82s | DB Match: NO | 
78. Task: 33 | Trial: 1 | Reward: ❌ | Duration: 176.97s | DB Match: NO | 
79. Task: 34 | Trial: 1 | Reward: ✅ | Duration: 23.97s | DB Match: YES | 
80. Task: 35 | Trial: 1 | Reward: ❌ | Duration: 145.52s | DB Match: NO | 
81. Task: 36 | Trial: 1 | Reward: ✅ | Duration: 23.38s | DB Match: YES | 
82. Task: 37 | Trial: 1 | Reward: ❌ | Duration: 57.45s | DB Match: NO | 
83. Task: 38 | Trial: 1 | Reward: ❌ | Duration: 5.25s | DB Match: NO | 
84. Task: 39 | Trial: 1 | Reward: ❌ | Duration: 19.48s | DB Match: NO | 
85. Task: 4 | Trial: 1 | Reward: ✅ | Duration: 56.42s | DB Match: YES | 
86. Task: 40 | Trial: 1 | Reward: ✅ | Duration: 20.45s | DB Match: YES | 
87. Task: 41 | Trial: 1 | Reward: ✅ | Duration: 72.43s | DB Match: YES | 
88. Task: 42 | Trial: 1 | Reward: ❌ | Duration: 108.40s | DB Match: NO | 
89. Task: 43 | Trial: 1 | Reward: ✅ | Duration: 85.54s | DB Match: YES | 
90. Task: 44 | Trial: 1 | Reward: ❌ | Duration: 164.99s | DB Match: NO | 
91. Task: 45 | Trial: 1 | Reward: ✅ | Duration: 108.60s | DB Match: YES | 
92. Task: 46 | Trial: 1 | Reward: ✅ | Duration: 15.63s | DB Match: YES | 
93. Task: 47 | Trial: 1 | Reward: ✅ | Duration: 98.95s | DB Match: YES | 
94. Task: 48 | Trial: 1 | Reward: ❌ | Duration: 18.11s | DB Match: NO | 
95. Task: 49 | Trial: 1 | Reward: ✅ | Duration: 16.01s | DB Match: YES | 
96. Task: 5 | Trial: 1 | Reward: ✅ | Duration: 114.71s | DB Match: YES | 
97. Task: 6 | Trial: 1 | Reward: ✅ | Duration: 112.20s | DB Match: YES | 
98. Task: 7 | Trial: 1 | Reward: ❌ | Duration: 13.30s | DB Match: NO | 
99. Task: 8 | Trial: 1 | Reward: ❌ | Duration: 167.31s | DB Match: NO | 
100. Task: 9 | Trial: 1 | Reward: ❌ | Duration: 37.41s | DB Match: NO | 
101. Task: 0 | Trial: 2 | Reward: ✅ | Duration: 18.36s | DB Match: YES | 
102. Task: 1 | Trial: 2 | Reward: ✅ | Duration: 90.60s | DB Match: YES | 
103. Task: 10 | Trial: 2 | Reward: ✅ | Duration: 68.77s | DB Match: YES | 
104. Task: 11 | Trial: 2 | Reward: ❌ | Duration: 116.17s | DB Match: NO | 
105. Task: 12 | Trial: 2 | Reward: ❌ | Duration: 69.84s | DB Match: NO | 
106. Task: 13 | Trial: 2 | Reward: ✅ | Duration: 68.52s | DB Match: YES | 
107. Task: 14 | Trial: 2 | Reward: ❌ | Duration: 73.51s | DB Match: NO | 
108. Task: 15 | Trial: 2 | Reward: ❌ | Duration: 78.01s | DB Match: NO | 
109. Task: 16 | Trial: 2 | Reward: ❌ | Duration: 97.75s | DB Match: NO | 
110. Task: 17 | Trial: 2 | Reward: ❌ | Duration: 97.19s | DB Match: NO | 
111. Task: 18 | Trial: 2 | Reward: ❌ | Duration: 107.50s | DB Match: NO | 
112. Task: 19 | Trial: 2 | Reward: ❌ | Duration: 58.21s | DB Match: NO | 
113. Task: 2 | Trial: 2 | Reward: ❌ | Duration: 146.12s | DB Match: NO | 
114. Task: 20 | Trial: 2 | Reward: ❌ | Duration: 69.46s | DB Match: NO | 
115. Task: 21 | Trial: 2 | Reward: ❌ | Duration: 92.26s | DB Match: NO | 
116. Task: 22 | Trial: 2 | Reward: ❌ | Duration: 33.41s | DB Match: NO | 
117. Task: 23 | Trial: 2 | Reward: ❌ | Duration: 133.50s | DB Match: NO | 
118. Task: 24 | Trial: 2 | Reward: ❌ | Duration: 31.15s | DB Match: NO | 
119. Task: 25 | Trial: 2 | Reward: ✅ | Duration: 84.76s | DB Match: YES | 
120. Task: 26 | Trial: 2 | Reward: ✅ | Duration: 28.03s | DB Match: YES | 
121. Task: 27 | Trial: 2 | Reward: ❌ | Duration: 49.16s | DB Match: NO | 
122. Task: 28 | Trial: 2 | Reward: ✅ | Duration: 24.82s | DB Match: YES | 
123. Task: 29 | Trial: 2 | Reward: ❌ | Duration: 80.81s | DB Match: NO | 
124. Task: 3 | Trial: 2 | Reward: ✅ | Duration: 86.85s | DB Match: YES | 
125. Task: 30 | Trial: 2 | Reward: ❌ | Duration: 26.67s | DB Match: NO | 
126. Task: 31 | Trial: 2 | Reward: ✅ | Duration: 47.79s | DB Match: YES | 
127. Task: 32 | Trial: 2 | Reward: ❌ | Duration: 34.29s | DB Match: NO | 
128. Task: 33 | Trial: 2 | Reward: ❌ | Duration: 57.87s | DB Match: NO | 
129. Task: 34 | Trial: 2 | Reward: ✅ | Duration: 44.01s | DB Match: YES | 
130. Task: 35 | Trial: 2 | Reward: ❌ | Duration: 73.28s | DB Match: NO | 
131. Task: 36 | Trial: 2 | Reward: ✅ | Duration: 34.61s | DB Match: YES | 
132. Task: 37 | Trial: 2 | Reward: ❌ | Duration: 31.61s | DB Match: NO | 
133. Task: 38 | Trial: 2 | Reward: ❌ | Duration: 9.04s | DB Match: NO | 
134. Task: 39 | Trial: 2 | Reward: ❌ | Duration: 44.13s | DB Match: NO | 
135. Task: 4 | Trial: 2 | Reward: ✅ | Duration: 80.08s | DB Match: YES | 
136. Task: 40 | Trial: 2 | Reward: ✅ | Duration: 23.98s | DB Match: YES | 
137. Task: 41 | Trial: 2 | Reward: ✅ | Duration: 51.52s | DB Match: YES | 
138. Task: 42 | Trial: 2 | Reward: ❌ | Duration: 107.37s | DB Match: NO | 
139. Task: 43 | Trial: 2 | Reward: ✅ | Duration: 33.96s | DB Match: YES | 
140. Task: 44 | Trial: 2 | Reward: ❌ | Duration: 23.00s | DB Match: NO | 
141. Task: 45 | Trial: 2 | Reward: ✅ | Duration: 61.10s | DB Match: YES | 
142. Task: 46 | Trial: 2 | Reward: ✅ | Duration: 15.38s | DB Match: YES | 
143. Task: 47 | Trial: 2 | Reward: ✅ | Duration: 53.24s | DB Match: YES | 
144. Task: 48 | Trial: 2 | Reward: ✅ | Duration: 53.30s | DB Match: YES | 
145. Task: 49 | Trial: 2 | Reward: ✅ | Duration: 18.24s | DB Match: YES | 
146. Task: 5 | Trial: 2 | Reward: ✅ | Duration: 104.78s | DB Match: YES | 
147. Task: 6 | Trial: 2 | Reward: ✅ | Duration: 257.11s | DB Match: YES | 
148. Task: 7 | Trial: 2 | Reward: ❌ | Duration: 77.31s | DB Match: NO | 
149. Task: 8 | Trial: 2 | Reward: ❌ | Duration: 99.02s | DB Match: NO | 
150. Task: 9 | Trial: 2 | Reward: ❌ | Duration: 93.44s | DB Match: NO | 
151. Task: 0 | Trial: 3 | Reward: ✅ | Duration: 18.26s | DB Match: YES | 
152. Task: 1 | Trial: 3 | Reward: ✅ | Duration: 35.16s | DB Match: YES | 
153. Task: 10 | Trial: 3 | Reward: ✅ | Duration: 28.99s | DB Match: YES | 
154. Task: 11 | Trial: 3 | Reward: ❌ | Duration: 58.11s | DB Match: NO | 
155. Task: 12 | Trial: 3 | Reward: ❌ | Duration: 65.19s | DB Match: NO | 
156. Task: 13 | Trial: 3 | Reward: ✅ | Duration: 14.42s | DB Match: YES | 
157. Task: 14 | Trial: 3 | Reward: ❌ | Duration: 57.51s | DB Match: NO | 
158. Task: 15 | Trial: 3 | Reward: ❌ | Duration: 43.57s | DB Match: NO | 
159. Task: 16 | Trial: 3 | Reward: ❌ | Duration: 39.05s | DB Match: NO | 
160. Task: 17 | Trial: 3 | Reward: ✅ | Duration: 77.35s | DB Match: YES | 
161. Task: 18 | Trial: 3 | Reward: ❌ | Duration: 288.76s | DB Match: NO | 
162. Task: 19 | Trial: 3 | Reward: ❌ | Duration: 17.97s | DB Match: NO | 
163. Task: 2 | Trial: 3 | Reward: ❌ | Duration: 66.10s | DB Match: NO | 
164. Task: 20 | Trial: 3 | Reward: ❌ | Duration: 95.49s | DB Match: NO | 
165. Task: 21 | Trial: 3 | Reward: ❌ | Duration: 116.15s | DB Match: NO | 
166. Task: 22 | Trial: 3 | Reward: ❌ | Duration: 58.27s | DB Match: NO | 
167. Task: 23 | Trial: 3 | Reward: ❌ | Duration: 117.40s | DB Match: NO | 
168. Task: 24 | Trial: 3 | Reward: ❌ | Duration: 261.82s | DB Match: NO | 
169. Task: 25 | Trial: 3 | Reward: ✅ | Duration: 57.12s | DB Match: YES | 
170. Task: 26 | Trial: 3 | Reward: ✅ | Duration: 22.78s | DB Match: YES | 
171. Task: 27 | Trial: 3 | Reward: ❌ | Duration: 88.69s | DB Match: NO | 
172. Task: 28 | Trial: 3 | Reward: ✅ | Duration: 25.46s | DB Match: YES | 
173. Task: 29 | Trial: 3 | Reward: ❌ | Duration: 18.06s | DB Match: NO | 
174. Task: 3 | Trial: 3 | Reward: ✅ | Duration: 20.45s | DB Match: YES | 
175. Task: 30 | Trial: 3 | Reward: ❌ | Duration: 54.67s | DB Match: NO | 
176. Task: 31 | Trial: 3 | Reward: ✅ | Duration: 36.47s | DB Match: YES | 
177. Task: 32 | Trial: 3 | Reward: ❌ | Duration: 25.28s | DB Match: NO | 
178. Task: 33 | Trial: 3 | Reward: ❌ | Duration: 132.52s | DB Match: NO | 
179. Task: 34 | Trial: 3 | Reward: ✅ | Duration: 62.86s | DB Match: YES | 
180. Task: 35 | Trial: 3 | Reward: ❌ | Duration: 228.38s | DB Match: NO | 
181. Task: 36 | Trial: 3 | Reward: ✅ | Duration: 25.26s | DB Match: YES | 
182. Task: 37 | Trial: 3 | Reward: ❌ | Duration: 42.59s | DB Match: NO | 
183. Task: 38 | Trial: 3 | Reward: ❌ | Duration: 8.16s | DB Match: NO | 
184. Task: 39 | Trial: 3 | Reward: ❌ | Duration: 16.95s | DB Match: NO | 
185. Task: 4 | Trial: 3 | Reward: ✅ | Duration: 84.48s | DB Match: YES | 
186. Task: 40 | Trial: 3 | Reward: ✅ | Duration: 25.09s | DB Match: YES | 
187. Task: 41 | Trial: 3 | Reward: ✅ | Duration: 47.93s | DB Match: YES | 
188. Task: 42 | Trial: 3 | Reward: ❌ | Duration: 89.80s | DB Match: NO | 
189. Task: 43 | Trial: 3 | Reward: ✅ | Duration: 32.10s | DB Match: YES | 
190. Task: 44 | Trial: 3 | Reward: ❌ | Duration: 34.57s | DB Match: NO | 
191. Task: 45 | Trial: 3 | Reward: ✅ | Duration: 35.24s | DB Match: YES | 
192. Task: 46 | Trial: 3 | Reward: ✅ | Duration: 12.08s | DB Match: YES | 
193. Task: 47 | Trial: 3 | Reward: ✅ | Duration: 45.48s | DB Match: YES | 
194. Task: 48 | Trial: 3 | Reward: ❌ | Duration: 20.98s | DB Match: NO | 
195. Task: 49 | Trial: 3 | Reward: ✅ | Duration: 23.25s | DB Match: YES | 
196. Task: 5 | Trial: 3 | Reward: ✅ | Duration: 54.91s | DB Match: YES | 
197. Task: 6 | Trial: 3 | Reward: ✅ | Duration: 151.10s | DB Match: YES | 
198. Task: 7 | Trial: 3 | Reward: ❌ | Duration: 16.75s | DB Match: NO | 
199. Task: 8 | Trial: 3 | Reward: ❌ | Duration: 81.71s | DB Match: NO | 
200. Task: 9 | Trial: 3 | Reward: ❌ | Duration: 23.98s | DB Match: NO | 
201. Task: 0 | Trial: 4 | Reward: ✅ | Duration: 18.47s | DB Match: YES | 
202. Task: 1 | Trial: 4 | Reward: ✅ | Duration: 18.22s | DB Match: YES | 
203. Task: 10 | Trial: 4 | Reward: ✅ | Duration: 221.15s | DB Match: YES | 
204. Task: 11 | Trial: 4 | Reward: ❌ | Duration: 34.03s | DB Match: NO | 
205. Task: 12 | Trial: 4 | Reward: ❌ | Duration: 18.35s | DB Match: NO | 
206. Task: 13 | Trial: 4 | Reward: ✅ | Duration: 11.51s | DB Match: YES | 
207. Task: 14 | Trial: 4 | Reward: ❌ | Duration: 37.99s | DB Match: NO | 
208. Task: 15 | Trial: 4 | Reward: ❌ | Duration: 16.79s | DB Match: NO | 
209. Task: 16 | Trial: 4 | Reward: ❌ | Duration: 19.87s | DB Match: NO | 
210. Task: 17 | Trial: 4 | Reward: ❌ | Duration: 35.28s | DB Match: NO | 
211. Task: 18 | Trial: 4 | Reward: ❌ | Duration: 26.47s | DB Match: NO | 
212. Task: 19 | Trial: 4 | Reward: ❌ | Duration: 18.85s | DB Match: NO | 
213. Task: 2 | Trial: 4 | Reward: ❌ | Duration: 72.24s | DB Match: NO | 
214. Task: 20 | Trial: 4 | Reward: ❌ | Duration: 68.38s | DB Match: NO | 
215. Task: 21 | Trial: 4 | Reward: ❌ | Duration: 77.69s | DB Match: NO | 
216. Task: 22 | Trial: 4 | Reward: ❌ | Duration: 66.19s | DB Match: NO | 
217. Task: 23 | Trial: 4 | Reward: ❌ | Duration: 38.72s | DB Match: NO | 
218. Task: 24 | Trial: 4 | Reward: ❌ | Duration: 57.34s | DB Match: NO | 
219. Task: 25 | Trial: 4 | Reward: ✅ | Duration: 60.15s | DB Match: YES | 
220. Task: 26 | Trial: 4 | Reward: ✅ | Duration: 20.84s | DB Match: YES | 
221. Task: 27 | Trial: 4 | Reward: ❌ | Duration: 49.45s | DB Match: NO | 
222. Task: 28 | Trial: 4 | Reward: ✅ | Duration: 13.32s | DB Match: YES | 
223. Task: 29 | Trial: 4 | Reward: ❌ | Duration: 28.28s | DB Match: NO | 
224. Task: 3 | Trial: 4 | Reward: ✅ | Duration: 26.63s | DB Match: YES | 
225. Task: 30 | Trial: 4 | Reward: ❌ | Duration: 48.29s | DB Match: NO | 
226. Task: 31 | Trial: 4 | Reward: ✅ | Duration: 24.53s | DB Match: YES | 
227. Task: 32 | Trial: 4 | Reward: ❌ | Duration: 19.02s | DB Match: NO | 
228. Task: 33 | Trial: 4 | Reward: ❌ | Duration: 29.19s | DB Match: NO | 
229. Task: 34 | Trial: 4 | Reward: ✅ | Duration: 22.10s | DB Match: YES | 
230. Task: 35 | Trial: 4 | Reward: ❌ | Duration: 213.48s | DB Match: NO | 
231. Task: 36 | Trial: 4 | Reward: ✅ | Duration: 13.01s | DB Match: YES | 
232. Task: 37 | Trial: 4 | Reward: ❌ | Duration: 39.68s | DB Match: NO | 
233. Task: 38 | Trial: 4 | Reward: ❌ | Duration: 4.56s | DB Match: NO | 
234. Task: 39 | Trial: 4 | Reward: ❌ | Duration: 34.43s | DB Match: NO | 
235. Task: 4 | Trial: 4 | Reward: ✅ | Duration: 58.53s | DB Match: YES | 
236. Task: 40 | Trial: 4 | Reward: ✅ | Duration: 19.21s | DB Match: YES | 
237. Task: 41 | Trial: 4 | Reward: ✅ | Duration: 66.85s | DB Match: YES | 
238. Task: 42 | Trial: 4 | Reward: ❌ | Duration: 101.72s | DB Match: NO | 
239. Task: 43 | Trial: 4 | Reward: ✅ | Duration: 29.95s | DB Match: YES | 
240. Task: 44 | Trial: 4 | Reward: ❌ | Duration: 149.82s | DB Match: NO | 
241. Task: 45 | Trial: 4 | Reward: ✅ | Duration: 49.32s | DB Match: YES | 
242. Task: 46 | Trial: 4 | Reward: ✅ | Duration: 9.40s | DB Match: YES | 
243. Task: 47 | Trial: 4 | Reward: ✅ | Duration: 80.53s | DB Match: YES | 
244. Task: 48 | Trial: 4 | Reward: ❌ | Duration: 25.56s | DB Match: NO | 
245. Task: 49 | Trial: 4 | Reward: ❌ | Duration: 17.76s | DB Match: NO | 
246. Task: 5 | Trial: 4 | Reward: ✅ | Duration: 52.65s | DB Match: YES | 
247. Task: 6 | Trial: 4 | Reward: ✅ | Duration: 90.89s | DB Match: YES | 
248. Task: 7 | Trial: 4 | Reward: ❌ | Duration: 16.33s | DB Match: NO | 
249. Task: 8 | Trial: 4 | Reward: ❌ | Duration: 58.71s | DB Match: NO | 
250. Task: 9 | Trial: 4 | Reward: ❌ | Duration: 39.38s | DB Match: NO | 
251. Task: 0 | Trial: 5 | Reward: ✅ | Duration: 13.96s | DB Match: YES | 
252. Task: 1 | Trial: 5 | Reward: ✅ | Duration: 17.44s | DB Match: YES | 
253. Task: 10 | Trial: 5 | Reward: ✅ | Duration: 21.22s | DB Match: YES | 
254. Task: 11 | Trial: 5 | Reward: ❌ | Duration: 35.10s | DB Match: NO | 
255. Task: 12 | Trial: 5 | Reward: ❌ | Duration: 18.26s | DB Match: NO | 
256. Task: 13 | Trial: 5 | Reward: ✅ | Duration: 17.97s | DB Match: YES | 
257. Task: 14 | Trial: 5 | Reward: ❌ | Duration: 34.32s | DB Match: NO | 
258. Task: 15 | Trial: 5 | Reward: ❌ | Duration: 21.81s | DB Match: NO | 
259. Task: 16 | Trial: 5 | Reward: ✅ | Duration: 51.08s | DB Match: YES | 
260. Task: 17 | Trial: 5 | Reward: ❌ | Duration: 70.98s | DB Match: NO | 
261. Task: 18 | Trial: 5 | Reward: ✅ | Duration: 237.26s | DB Match: YES | 
262. Task: 19 | Trial: 5 | Reward: ❌ | Duration: 35.45s | DB Match: NO | 
263. Task: 2 | Trial: 5 | Reward: ❌ | Duration: 45.65s | DB Match: NO | 
264. Task: 20 | Trial: 5 | Reward: ❌ | Duration: 51.24s | DB Match: NO | 
265. Task: 21 | Trial: 5 | Reward: ❌ | Duration: 128.27s | DB Match: NO | 
266. Task: 22 | Trial: 5 | Reward: ❌ | Duration: 33.21s | DB Match: NO | 
267. Task: 23 | Trial: 5 | Reward: ❌ | Duration: 78.01s | DB Match: NO | 
268. Task: 24 | Trial: 5 | Reward: ❌ | Duration: 40.91s | DB Match: NO | 
269. Task: 25 | Trial: 5 | Reward: ❌ | Duration: 250.23s | DB Match: NO | 
270. Task: 26 | Trial: 5 | Reward: ✅ | Duration: 33.63s | DB Match: YES | 
271. Task: 27 | Trial: 5 | Reward: ❌ | Duration: 102.82s | DB Match: NO | 
272. Task: 28 | Trial: 5 | Reward: ✅ | Duration: 22.11s | DB Match: YES | 
273. Task: 29 | Trial: 5 | Reward: ❌ | Duration: 32.56s | DB Match: NO | 
274. Task: 3 | Trial: 5 | Reward: ✅ | Duration: 46.84s | DB Match: YES | 
275. Task: 30 | Trial: 5 | Reward: ✅ | Duration: 84.58s | DB Match: YES | 
276. Task: 31 | Trial: 5 | Reward: ✅ | Duration: 49.59s | DB Match: YES | 
277. Task: 32 | Trial: 5 | Reward: ❌ | Duration: 51.14s | DB Match: NO | 
278. Task: 33 | Trial: 5 | Reward: ❌ | Duration: 137.63s | DB Match: NO | 
279. Task: 34 | Trial: 5 | Reward: ✅ | Duration: 62.70s | DB Match: YES | 
280. Task: 35 | Trial: 5 | Reward: ❌ | Duration: 102.13s | DB Match: NO | 
281. Task: 36 | Trial: 5 | Reward: ✅ | Duration: 29.77s | DB Match: YES | 
282. Task: 37 | Trial: 5 | Reward: ❌ | Duration: 51.36s | DB Match: NO | 
283. Task: 38 | Trial: 5 | Reward: ❌ | Duration: 11.29s | DB Match: NO | 
284. Task: 39 | Trial: 5 | Reward: ❌ | Duration: 47.56s | DB Match: NO | 
285. Task: 4 | Trial: 5 | Reward: ✅ | Duration: 30.25s | DB Match: YES | 
286. Task: 40 | Trial: 5 | Reward: ✅ | Duration: 34.39s | DB Match: YES | 
287. Task: 41 | Trial: 5 | Reward: ✅ | Duration: 53.06s | DB Match: YES | 
288. Task: 42 | Trial: 5 | Reward: ❌ | Duration: 69.39s | DB Match: NO | 
289. Task: 43 | Trial: 5 | Reward: ✅ | Duration: 55.27s | DB Match: YES | 
290. Task: 44 | Trial: 5 | Reward: ❌ | Duration: 63.67s | DB Match: NO | 
291. Task: 45 | Trial: 5 | Reward: ✅ | Duration: 60.11s | DB Match: YES | 
292. Task: 46 | Trial: 5 | Reward: ✅ | Duration: 21.42s | DB Match: YES | 
293. Task: 47 | Trial: 5 | Reward: ✅ | Duration: 67.59s | DB Match: YES | 
294. Task: 48 | Trial: 5 | Reward: ✅ | Duration: 33.20s | DB Match: YES | 
295. Task: 49 | Trial: 5 | Reward: ✅ | Duration: 27.47s | DB Match: YES | 
296. Task: 5 | Trial: 5 | Reward: ❌ | Duration: 79.12s | DB Match: NO | 
297. Task: 6 | Trial: 5 | Reward: ✅ | Duration: 222.43s | DB Match: YES | 
298. Task: 7 | Trial: 5 | Reward: ❌ | Duration: 14.61s | DB Match: NO | 
299. Task: 8 | Trial: 5 | Reward: ❌ | Duration: 45.63s | DB Match: NO | 
300. Task: 9 | Trial: 5 | Reward: ❌ | Duration: 22.49s | DB Match: NO | 
301. Task: 0 | Trial: 6 | Reward: ✅ | Duration: 29.73s | DB Match: YES | 
302. Task: 1 | Trial: 6 | Reward: ✅ | Duration: 52.30s | DB Match: YES | 
303. Task: 10 | Trial: 6 | Reward: ✅ | Duration: 34.19s | DB Match: YES | 
